Seed,Dataset,Delta Accuracy,Delta Precision,Delta Recall,Delta F1,Delta ROC-AUC
42,Dataset 1,-0.0020000000000000018,0.015348846861646837,-0.03764705882352948,-0.02010584649273295,-0.012215525554484019
42,Dataset 2,0.0018000000000000238,0.010129613467372622,-0.006166666666666654,0.0009482805735492317,0.0004513802083333518
52,Dataset 1,0.0018500000000000183,0.035540231005409595,-0.004117647058823559,0.009079070224580987,-0.003771890067502226
52,Dataset 2,0.0015500000000000513,0.001530532177032251,0.0012499999999999734,0.0013775099511583733,-0.00045404166666673795
62,Dataset 1,-0.008000000000000007,-0.0901959666426525,-0.024117647058823466,-0.04825093813570125,-0.005904082288653356
62,Dataset 2,-0.0015499999999999403,-0.008709856086205225,0.005166666666666653,-0.000844788386796802,8.562499999986706e-05
72,Dataset 1,0.0049000000000000155,0.039262820512820484,0.028823529411764692,0.03324287652645863,0.00019035679845702536
72,Dataset 2,0.0008500000000000174,0.000766502507257627,0.0007499999999999174,0.0007607242458929075,8.226562500002199e-05
82,Dataset 1,0.0010499999999999954,0.017537196144174372,-0.0005882352941176672,0.005628504924378719,-0.0009386692381870843
82,Dataset 2,0.0010499999999999954,0.0007726037777695538,0.001083333333333325,0.000954845060095022,0.00034091666666669074
