Seed,Approach,Dataset,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC
42,Local,Dataset 1,0.4149999999999999,0.96985,0.9329123914759274,0.6952941176470588,0.7967644084934277,0.9758165702346512
42,Local,Dataset 2,0.3549999999999999,0.90955,0.9784057834945076,0.8684166666666666,0.9201359763365856,0.9416324791666667
42,Federated,Dataset 1,0.8699999999999999,0.96785,0.9482612383375743,0.6576470588235294,0.7766585620006947,0.9636010446801672
42,Federated,Dataset 2,0.39499999999999996,0.91135,0.9885353969618802,0.86225,0.9210842569101348,0.942083859375
52,Local,Dataset 1,0.4699999999999999,0.96845,0.9428334714167357,0.6694117647058824,0.782937736498108,0.9747148183863709
52,Local,Dataset 2,0.4549999999999999,0.90975,0.987939121278836,0.8600833333333333,0.9195883637011627,0.9419790572916666
52,Federated,Dataset 1,0.8099999999999999,0.9703,0.9783737024221453,0.6652941176470588,0.792016806722689,0.9709429283188686
52,Federated,Dataset 2,0.36499999999999994,0.9113,0.9894696534558682,0.8613333333333333,0.9209658736523211,0.9415250156249999
62,Local,Dataset 1,0.4599999999999999,0.97,0.9568106312292359,0.6776470588235294,0.7933884297520661,0.9732146415943428
62,Local,Dataset 2,0.57,0.9137,0.9935626441199078,0.86175,0.9229739378793288,0.9418638125000001
62,Federated,Dataset 1,0.59,0.962,0.8666146645865834,0.6535294117647059,0.7451374916163649,0.9673105593056894
62,Federated,Dataset 2,0.3549999999999999,0.91215,0.9848527880337026,0.8669166666666667,0.922129149492532,0.9419494374999999
72,Local,Dataset 1,0.5249999999999999,0.9654,0.9038461538461539,0.6635294117647059,0.7652645861601085,0.9710710864673738
72,Local,Dataset 2,0.4099999999999999,0.9113,0.9892822966507177,0.8615,0.9209799554565702,0.9414502864583334
72,Federated,Dataset 1,0.71,0.9703,0.9431089743589743,0.6923529411764706,0.7985074626865671,0.9712614432658309
72,Federated,Dataset 2,0.4549999999999999,0.91215,0.9900487991579753,0.86225,0.9217406797024631,0.9415325520833334
82,Local,Dataset 1,0.5499999999999999,0.9701,0.953125,0.6817647058823529,0.7949245541838135,0.973366168434587
82,Local,Dataset 2,0.5249999999999999,0.9119,0.9922115384615384,0.8599166666666667,0.9213392857142857,0.94133634375
82,Federated,Dataset 1,0.8599999999999999,0.97115,0.9706621961441744,0.6811764705882353,0.8005530591081922,0.9724274991963999
82,Federated,Dataset 2,0.4599999999999999,0.91295,0.992984142239308,0.861,0.9222941307743807,0.9416772604166667
